55.9,81.5,70.5,129.6,391.8,1346.0,0.7
57.1,81.5,72.6,130.8,391.8,1346.0,0.7
55.9,81.5,70.5,129.6,393.0,1346.0,0.7
54.6,81.5,71.5,130.8,395.2,1350.4,0.7
58.3,81.5,70.5,128.4,391.8,1346.0,0.7
58.3,83.6,72.6,130.8,393.0,1347.5,0.6
53.4,58.8,57.2,103.2,297.3,1346.0,0.7
47.4,76.4,50.1,81.6,197.0,1127.8,0.4
32.8,46.4,37.8,75.6,216.2,599.5,0.6
42.5,52.6,50.1,84.0,227.5,825.1,0.6
49.8,73.3,51.1,94.8,229.7,1240.6,0.5
48.6,74.3,52.1,94.8,229.7,1167.9,0.5
48.6,74.3,52.1,94.8,229.7,1167.9,0.5
49.8,60.9,64.4,114.0,318.7,1162.0,0.7
51.0,71.2,65.4,114.0,327.7,1166.4,0.6
51.0,71.2,64.4,114.0,327.7,1166.4,0.6
49.8,70.2,64.4,114.0,327.7,1164.9,0.6
42.5,64.0,59.3,109.2,324.3,1164.9,0.7
42.5,66.0,59.3,109.2,324.3,1164.9,0.7
43.7,64.0,60.3,110.4,325.4,1164.9,0.7
44.9,67.1,61.3,111.6,324.3,1166.4,0.7
48.6,70.2,64.4,114.0,327.7,1166.4,0.6
49.8,70.2,64.4,114.0,327.7,1166.4,0.6
49.8,71.2,64.4,114.0,326.5,1175.3,0.6
48.6,73.3,63.4,114.0,325.4,1166.4,0.6
44.9,68.1,62.3,112.8,325.4,1166.4,0.7
43.7,66.0,60.3,112.8,329.9,1169.4,0.7
43.7,65.0,60.3,110.4,325.4,1166.4,0.7
43.7,66.0,60.3,110.4,325.4,1166.4,0.7
40.1,57.8,52.1,84.0,265.7,690.0,0.6
23.1,27.9,24.5,30.0,51.8,81.6,0.3
27.9,39.2,48.0,67.2,122.7,253.8,0.5
29.1,42.3,48.0,67.2,123.9,255.2,0.5
29.1,43.3,51.1,70.8,123.9,255.2,0.5
31.6,47.5,52.1,70.8,125.0,255.2,0.4
27.9,44.4,49.1,68.4,123.9,255.2,0.5
27.9,43.3,49.1,69.6,126.1,267.1,0.5
27.9,42.3,48.0,67.2,123.9,255.2,0.5
27.9,42.3,48.0,67.2,123.9,255.2,0.5
27.9,42.3,48.0,67.2,123.9,262.7,0.5
27.9,42.3,49.1,68.4,123.9,255.2,0.5
32.8,46.4,52.1,70.8,125.0,255.2,0.5
35.2,48.5,53.1,84.0,180.2,587.7,0.6
24.3,14.4,17.4,14.4,16.9,142.5,0.1
35.2,35.1,29.6,27.6,21.4,17.8,-0.2
35.2,35.1,29.6,27.6,21.4,19.3,-0.2
35.2,33.0,27.6,25.2,19.1,17.8,-0.3
35.2,35.1,29.6,27.6,21.4,19.3,-0.2
32.8,33.0,27.6,25.2,20.3,19.3,-0.2
26.7,62.9,45.0,26.4,18.0,212.2,-0.6
44.9,70.2,50.1,99.6,229.7,1390.5,0.5
44.9,75.3,55.2,105.6,233.1,1394.9,0.5
36.4,66.0,47.0,97.2,228.6,1393.5,0.6
31.6,48.5,36.8,58.8,252.2,633.7,0.7
47.4,60.9,54.2,96.0,308.5,1127.8,0.7
48.6,69.1,59.3,100.8,311.9,1127.8,0.6
42.5,65.0,57.2,99.6,309.6,1126.3,0.7
42.5,61.9,55.2,96.0,308.5,1124.9,0.7
42.5,61.9,55.2,96.0,308.5,1126.3,0.7
42.5,61.9,55.2,96.0,308.5,1126.3,0.7
44.9,66.0,58.3,102.0,309.6,1141.2,0.6
43.7,65.0,57.2,99.6,308.5,1126.3,0.7
43.7,62.9,55.2,97.2,308.5,1126.3,0.7
43.7,64.0,57.2,100.8,314.2,1135.2,0.7
43.7,62.9,56.2,98.4,308.5,1126.3,0.7
43.7,61.9,55.2,96.0,308.5,1124.9,0.7
43.7,64.0,55.2,97.2,307.4,1124.9,0.7
43.7,61.9,55.2,97.2,308.5,1124.9,0.7
46.1,65.0,58.3,99.6,309.6,1126.3,0.7
47.4,66.0,58.3,99.6,310.8,1126.3,0.6
47.4,69.1,59.3,99.6,308.5,1126.3,0.6
47.4,66.0,59.3,102.0,314.2,1136.7,0.7
48.6,67.1,59.3,99.6,309.6,1126.3,0.6
44.9,59.8,53.1,91.2,291.6,1124.9,0.7
26.7,28.9,24.5,38.4,113.7,837.0,0.6
